BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;36;2;552;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;36;17;2384;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;36;161;9780;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;36;589;40288;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;36;866;163220;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;36;5374;655500;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;36;42176;2628352;
Octree;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;36;71;552;
Octree;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;36;43;2384;
Octree;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;36;125;9780;
Octree;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;36;257;40288;
Octree;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;36;547;163220;
Octree;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;36;2230;655500;
Octree;/home/xbubel08/avs-proj02/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;36;14165;2628352;
