BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/010.pts;;64;0.15;10;1;60;7680;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/020.pts;;64;0.15;20;1;104;13016;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/040.pts;;64;0.15;40;1;137;27344;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/080.pts;;64;0.15;80;1;176;53520;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/160.pts;;64;0.15;160;1;305;92648;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/320.pts;;64;0.15;320;1;544;67036;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/642.pts;;64;0.15;642;1;1058;61952;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/010.pts;;64;0.15;10;2;40;7680;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/020.pts;;64;0.15;20;2;62;13016;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/040.pts;;64;0.15;40;2;79;27344;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/080.pts;;64;0.15;80;2;99;53520;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/160.pts;;64;0.15;160;2;165;92648;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/320.pts;;64;0.15;320;2;284;67036;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/642.pts;;64;0.15;642;2;541;61952;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/010.pts;;64;0.15;10;4;20;7680;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/020.pts;;64;0.15;20;4;31;13016;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/040.pts;;64;0.15;40;4;40;27344;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/080.pts;;64;0.15;80;4;51;53520;
OpenMP Loop;/home/xbubel08/avs-proj02/scripts/../data/benchmark/160.pts;;64;0.15;160;4;84;92648;
